,DATE,TIME PERIOD,US dollar/Euro (EXR.D.USD.EUR.SP00.A)
1953,2006-06-29,29 Jun 2006,1.2529
1954,2006-06-30,30 Jun 2006,1.2713
1955,2006-07-03,03 Jul 2006,1.279
1956,2006-07-04,04 Jul 2006,1.2791
1957,2006-07-05,05 Jul 2006,1.2794
1958,2006-07-06,06 Jul 2006,1.2735
1959,2006-07-07,07 Jul 2006,1.2778
1960,2006-07-10,10 Jul 2006,1.2752
1961,2006-07-11,11 Jul 2006,1.2736
1962,2006-07-12,12 Jul 2006,1.2722
1963,2006-07-13,13 Jul 2006,1.2692
1964,2006-07-14,14 Jul 2006,1.2666
1965,2006-07-17,17 Jul 2006,1.2541
1966,2006-07-18,18 Jul 2006,1.2531
1967,2006-07-19,19 Jul 2006,1.2482
1968,2006-07-20,20 Jul 2006,1.2643
1969,2006-07-21,21 Jul 2006,1.268
1970,2006-07-24,24 Jul 2006,1.2633
1971,2006-07-25,25 Jul 2006,1.2636
1972,2006-07-26,26 Jul 2006,1.2587
1973,2006-07-27,27 Jul 2006,1.2737
1974,2006-07-28,28 Jul 2006,1.2664
1975,2006-07-31,31 Jul 2006,1.2767
1976,2006-08-01,01 Aug 2006,1.2759
1977,2006-08-02,02 Aug 2006,1.2798
1978,2006-08-03,03 Aug 2006,1.2781
1979,2006-08-04,04 Aug 2006,1.2792
1980,2006-08-07,07 Aug 2006,1.285
1981,2006-08-08,08 Aug 2006,1.2839
1982,2006-08-09,09 Aug 2006,1.2879
1983,2006-08-10,10 Aug 2006,1.2857
1984,2006-08-11,11 Aug 2006,1.2775
1985,2006-08-14,14 Aug 2006,1.2718
1986,2006-08-15,15 Aug 2006,1.2725
1987,2006-08-16,16 Aug 2006,1.2793
1988,2006-08-17,17 Aug 2006,1.2879
1989,2006-08-18,18 Aug 2006,1.2802
1990,2006-08-21,21 Aug 2006,1.2919
1991,2006-08-22,22 Aug 2006,1.2812
1992,2006-08-23,23 Aug 2006,1.2812
1993,2006-08-24,24 Aug 2006,1.2831
1994,2006-08-25,25 Aug 2006,1.2762
1995,2006-08-28,28 Aug 2006,1.28
1996,2006-08-29,29 Aug 2006,1.2808
1997,2006-08-30,30 Aug 2006,1.2818
1998,2006-08-31,31 Aug 2006,1.2851
1999,2006-09-01,01 Sep 2006,1.2817
2000,2006-09-04,04 Sep 2006,1.2852
2001,2006-09-05,05 Sep 2006,1.281
2002,2006-09-06,06 Sep 2006,1.2793
2003,2006-09-07,07 Sep 2006,1.2731
2004,2006-09-08,08 Sep 2006,1.2713
2005,2006-09-11,11 Sep 2006,1.2713
2006,2006-09-12,12 Sep 2006,1.2709
2007,2006-09-13,13 Sep 2006,1.2677
2008,2006-09-14,14 Sep 2006,1.2723
2009,2006-09-15,15 Sep 2006,1.2675
2010,2006-09-18,18 Sep 2006,1.2665
2011,2006-09-19,19 Sep 2006,1.2654
2012,2006-09-20,20 Sep 2006,1.2676
2013,2006-09-21,21 Sep 2006,1.2731
2014,2006-09-22,22 Sep 2006,1.2817
2015,2006-09-25,25 Sep 2006,1.2768
2016,2006-09-26,26 Sep 2006,1.2695
2017,2006-09-27,27 Sep 2006,1.2684
2018,2006-09-28,28 Sep 2006,1.2713
2019,2006-09-29,29 Sep 2006,1.266
2020,2006-10-02,02 Oct 2006,1.2685
2021,2006-10-03,03 Oct 2006,1.2737
2022,2006-10-04,04 Oct 2006,1.2684
2023,2006-10-05,05 Oct 2006,1.2721
2024,2006-10-06,06 Oct 2006,1.2664
2025,2006-10-09,09 Oct 2006,1.2603
2026,2006-10-10,10 Oct 2006,1.2538
2027,2006-10-11,11 Oct 2006,1.2543
2028,2006-10-12,12 Oct 2006,1.2531
2029,2006-10-13,13 Oct 2006,1.255
2030,2006-10-16,16 Oct 2006,1.2515
2031,2006-10-17,17 Oct 2006,1.2524
2032,2006-10-18,18 Oct 2006,1.2543
2033,2006-10-19,19 Oct 2006,1.2561
2034,2006-10-20,20 Oct 2006,1.2618
2035,2006-10-23,23 Oct 2006,1.2556
2036,2006-10-24,24 Oct 2006,1.2541
2037,2006-10-25,25 Oct 2006,1.258
2038,2006-10-26,26 Oct 2006,1.2653
2039,2006-10-27,27 Oct 2006,1.2683
2040,2006-10-30,30 Oct 2006,1.2717
2041,2006-10-31,31 Oct 2006,1.2696
2042,2006-11-01,01 Nov 2006,1.2757
2043,2006-11-02,02 Nov 2006,1.2767
2044,2006-11-03,03 Nov 2006,1.276
2045,2006-11-06,06 Nov 2006,1.2702
2046,2006-11-07,07 Nov 2006,1.2755
2047,2006-11-08,08 Nov 2006,1.2776
2048,2006-11-09,09 Nov 2006,1.2796
2049,2006-11-10,10 Nov 2006,1.2864
2050,2006-11-13,13 Nov 2006,1.283
2051,2006-11-14,14 Nov 2006,1.2824
2052,2006-11-15,15 Nov 2006,1.2792
2053,2006-11-16,16 Nov 2006,1.2804
2054,2006-11-17,17 Nov 2006,1.2774
2055,2006-11-20,20 Nov 2006,1.2841
2056,2006-11-21,21 Nov 2006,1.2814
2057,2006-11-22,22 Nov 2006,1.2886
2058,2006-11-23,23 Nov 2006,1.2953
2059,2006-11-24,24 Nov 2006,1.3078
2060,2006-11-27,27 Nov 2006,1.3114
2061,2006-11-28,28 Nov 2006,1.3147
2062,2006-11-29,29 Nov 2006,1.3157
2063,2006-11-30,30 Nov 2006,1.32
2064,2006-12-01,01 Dec 2006,1.3244
2065,2006-12-04,04 Dec 2006,1.3309
2066,2006-12-05,05 Dec 2006,1.3331
2067,2006-12-06,06 Dec 2006,1.3274
2068,2006-12-07,07 Dec 2006,1.3297
2069,2006-12-08,08 Dec 2006,1.3276
2070,2006-12-11,11 Dec 2006,1.3177
2071,2006-12-12,12 Dec 2006,1.3244
2072,2006-12-13,13 Dec 2006,1.3265
2073,2006-12-14,14 Dec 2006,1.3192
2074,2006-12-15,15 Dec 2006,1.3106
2075,2006-12-18,18 Dec 2006,1.3095
2076,2006-12-19,19 Dec 2006,1.3158
2077,2006-12-20,20 Dec 2006,1.3203
2078,2006-12-21,21 Dec 2006,1.3178
2079,2006-12-22,22 Dec 2006,1.3192
2080,2006-12-25,25 Dec 2006,
2081,2006-12-26,26 Dec 2006,
2082,2006-12-27,27 Dec 2006,1.3159
2083,2006-12-28,28 Dec 2006,1.3173
2084,2006-12-29,29 Dec 2006,1.317
2085,2007-01-01,01 Jan 2007,
2086,2007-01-02,02 Jan 2007,1.327
2087,2007-01-03,03 Jan 2007,1.3231
2088,2007-01-04,04 Jan 2007,1.3106
2089,2007-01-05,05 Jan 2007,1.3084
2090,2007-01-08,08 Jan 2007,1.3006
2091,2007-01-09,09 Jan 2007,1.3018
2092,2007-01-10,10 Jan 2007,1.2988
2093,2007-01-11,11 Jan 2007,1.2984
2094,2007-01-12,12 Jan 2007,1.2893
2095,2007-01-15,15 Jan 2007,1.2941
2096,2007-01-16,16 Jan 2007,1.2953
2097,2007-01-17,17 Jan 2007,1.2909
2098,2007-01-18,18 Jan 2007,1.2922
2099,2007-01-19,19 Jan 2007,1.2958
2100,2007-01-22,22 Jan 2007,1.2936
2101,2007-01-23,23 Jan 2007,1.304
2102,2007-01-24,24 Jan 2007,1.3005
2103,2007-01-25,25 Jan 2007,1.2978
2104,2007-01-26,26 Jan 2007,1.2901
2105,2007-01-29,29 Jan 2007,1.2921
2106,2007-01-30,30 Jan 2007,1.2972
2107,2007-01-31,31 Jan 2007,1.2954
2108,2007-02-01,01 Feb 2007,1.302
2109,2007-02-02,02 Feb 2007,1.302
2110,2007-02-05,05 Feb 2007,1.2925
2111,2007-02-06,06 Feb 2007,1.2955
2112,2007-02-07,07 Feb 2007,1.2987
2113,2007-02-08,08 Feb 2007,1.2991
2114,2007-02-09,09 Feb 2007,1.3007
2115,2007-02-12,12 Feb 2007,1.2956
2116,2007-02-13,13 Feb 2007,1.3022
2117,2007-02-14,14 Feb 2007,1.3082
2118,2007-02-15,15 Feb 2007,1.3137
2119,2007-02-16,16 Feb 2007,1.3119
2120,2007-02-19,19 Feb 2007,1.3132
2121,2007-02-20,20 Feb 2007,1.3145
2122,2007-02-21,21 Feb 2007,1.3145
2123,2007-02-22,22 Feb 2007,1.3106
2124,2007-02-23,23 Feb 2007,1.3134
2125,2007-02-26,26 Feb 2007,1.316
2126,2007-02-27,27 Feb 2007,1.323
2127,2007-02-28,28 Feb 2007,1.3211
2128,2007-03-01,01 Mar 2007,1.3225
2129,2007-03-02,02 Mar 2007,1.3163
2130,2007-03-05,05 Mar 2007,1.3083
2131,2007-03-06,06 Mar 2007,1.31
2132,2007-03-07,07 Mar 2007,1.3135
2133,2007-03-08,08 Mar 2007,1.3152
2134,2007-03-09,09 Mar 2007,1.3155
2135,2007-03-12,12 Mar 2007,1.3156
2136,2007-03-13,13 Mar 2007,1.3218
2137,2007-03-14,14 Mar 2007,1.3183
2138,2007-03-15,15 Mar 2007,1.3226
2139,2007-03-16,16 Mar 2007,1.3325
2140,2007-03-19,19 Mar 2007,1.3303
2141,2007-03-20,20 Mar 2007,1.3296
2142,2007-03-21,21 Mar 2007,1.3293
2143,2007-03-22,22 Mar 2007,1.3351
2144,2007-03-23,23 Mar 2007,1.3327
2145,2007-03-26,26 Mar 2007,1.3265
2146,2007-03-27,27 Mar 2007,1.3347
2147,2007-03-28,28 Mar 2007,1.3348
2148,2007-03-29,29 Mar 2007,1.3352
2149,2007-03-30,30 Mar 2007,1.3318
2150,2007-04-02,02 Apr 2007,1.3366
2151,2007-04-03,03 Apr 2007,1.3358
2152,2007-04-04,04 Apr 2007,1.3352
2153,2007-04-05,05 Apr 2007,1.3373
2154,2007-04-06,06 Apr 2007,
2155,2007-04-09,09 Apr 2007,
2156,2007-04-10,10 Apr 2007,1.3426
2157,2007-04-11,11 Apr 2007,1.3418
2158,2007-04-12,12 Apr 2007,1.3467
2159,2007-04-13,13 Apr 2007,1.3532
2160,2007-04-16,16 Apr 2007,1.355
2161,2007-04-17,17 Apr 2007,1.3549
2162,2007-04-18,18 Apr 2007,1.3577
2163,2007-04-19,19 Apr 2007,1.3601
2164,2007-04-20,20 Apr 2007,1.3606
2165,2007-04-23,23 Apr 2007,1.3557
2166,2007-04-24,24 Apr 2007,1.3582
2167,2007-04-25,25 Apr 2007,1.3649
2168,2007-04-26,26 Apr 2007,1.3596
2169,2007-04-27,27 Apr 2007,1.3643
2170,2007-04-30,30 Apr 2007,1.3605
2171,2007-05-01,01 May 2007,
2172,2007-05-02,02 May 2007,1.3588
2173,2007-05-03,03 May 2007,1.3613
2174,2007-05-04,04 May 2007,1.3561
2175,2007-05-07,07 May 2007,1.3615
2176,2007-05-08,08 May 2007,1.3558
2177,2007-05-09,09 May 2007,1.3535
2178,2007-05-10,10 May 2007,1.3527
2179,2007-05-11,11 May 2007,1.3486
2180,2007-05-14,14 May 2007,1.3549
2181,2007-05-15,15 May 2007,1.3538
2182,2007-05-16,16 May 2007,1.3574
2183,2007-05-17,17 May 2007,1.3516
2184,2007-05-18,18 May 2007,1.3477
2185,2007-05-21,21 May 2007,1.3444
2186,2007-05-22,22 May 2007,1.3454
2187,2007-05-23,23 May 2007,1.349
2188,2007-05-24,24 May 2007,1.3448
2189,2007-05-25,25 May 2007,1.3441
2190,2007-05-28,28 May 2007,1.3453
2191,2007-05-29,29 May 2007,1.3509
2192,2007-05-30,30 May 2007,1.342
2193,2007-05-31,31 May 2007,1.3453
2194,2007-06-01,01 Jun 2007,1.3436
2195,2007-06-04,04 Jun 2007,1.3482
2196,2007-06-05,05 Jun 2007,1.3532
2197,2007-06-06,06 Jun 2007,1.3513
2198,2007-06-07,07 Jun 2007,1.347
2199,2007-06-08,08 Jun 2007,1.3349
2200,2007-06-11,11 Jun 2007,1.3355
2201,2007-06-12,12 Jun 2007,1.3345
2202,2007-06-13,13 Jun 2007,1.3287
2203,2007-06-14,14 Jun 2007,1.3304
2204,2007-06-15,15 Jun 2007,1.3314
2205,2007-06-18,18 Jun 2007,1.3404
2206,2007-06-19,19 Jun 2007,1.3403
2207,2007-06-20,20 Jun 2007,1.3427
2208,2007-06-21,21 Jun 2007,1.3397
2209,2007-06-22,22 Jun 2007,1.3441
2210,2007-06-25,25 Jun 2007,1.3461
2211,2007-06-26,26 Jun 2007,1.346
2212,2007-06-27,27 Jun 2007,1.3438
2213,2007-06-28,28 Jun 2007,1.3467
2214,2007-06-29,29 Jun 2007,1.3505
2215,2007-07-02,02 Jul 2007,1.3588
2216,2007-07-03,03 Jul 2007,1.3601
2217,2007-07-04,04 Jul 2007,1.3618
2218,2007-07-05,05 Jul 2007,1.364
2219,2007-07-06,06 Jul 2007,1.3596
2220,2007-07-09,09 Jul 2007,1.3621
2221,2007-07-10,10 Jul 2007,1.3666
2222,2007-07-11,11 Jul 2007,1.3753
2223,2007-07-12,12 Jul 2007,1.3788
2224,2007-07-13,13 Jul 2007,1.3782
2225,2007-07-16,16 Jul 2007,1.3781
2226,2007-07-17,17 Jul 2007,1.3771
2227,2007-07-18,18 Jul 2007,1.3779
2228,2007-07-19,19 Jul 2007,1.382
2229,2007-07-20,20 Jul 2007,1.3803
2230,2007-07-23,23 Jul 2007,1.3821
2231,2007-07-24,24 Jul 2007,1.3833
2232,2007-07-25,25 Jul 2007,1.3743
2233,2007-07-26,26 Jul 2007,1.3722
2234,2007-07-27,27 Jul 2007,1.3651
2235,2007-07-30,30 Jul 2007,1.3659
2236,2007-07-31,31 Jul 2007,1.3707
2237,2007-08-01,01 Aug 2007,1.3663
2238,2007-08-02,02 Aug 2007,1.3664
2239,2007-08-03,03 Aug 2007,1.3694
2240,2007-08-06,06 Aug 2007,1.3818
2241,2007-08-07,07 Aug 2007,1.3794
2242,2007-08-08,08 Aug 2007,1.3794
2243,2007-08-09,09 Aug 2007,1.3729
2244,2007-08-10,10 Aug 2007,1.365
2245,2007-08-13,13 Aug 2007,1.3651
2246,2007-08-14,14 Aug 2007,1.3591
2247,2007-08-15,15 Aug 2007,1.3476
2248,2007-08-16,16 Aug 2007,1.3405
2249,2007-08-17,17 Aug 2007,1.3454
2250,2007-08-20,20 Aug 2007,1.3476
2251,2007-08-21,21 Aug 2007,1.3508
2252,2007-08-22,22 Aug 2007,1.3493
2253,2007-08-23,23 Aug 2007,1.3574
2254,2007-08-24,24 Aug 2007,1.3615
2255,2007-08-27,27 Aug 2007,1.3658
2256,2007-08-28,28 Aug 2007,1.3664
2257,2007-08-29,29 Aug 2007,1.3631
2258,2007-08-30,30 Aug 2007,1.361
2259,2007-08-31,31 Aug 2007,1.3705
2260,2007-09-03,03 Sep 2007,1.3632
2261,2007-09-04,04 Sep 2007,1.358
2262,2007-09-05,05 Sep 2007,1.3588
2263,2007-09-06,06 Sep 2007,1.3669
2264,2007-09-07,07 Sep 2007,1.3696
2265,2007-09-10,10 Sep 2007,1.3795
2266,2007-09-11,11 Sep 2007,1.3824
2267,2007-09-12,12 Sep 2007,1.3885
2268,2007-09-13,13 Sep 2007,1.3897
2269,2007-09-14,14 Sep 2007,1.386
2270,2007-09-17,17 Sep 2007,1.3877
2271,2007-09-18,18 Sep 2007,1.3867
2272,2007-09-19,19 Sep 2007,1.3975
2273,2007-09-20,20 Sep 2007,1.403
2274,2007-09-21,21 Sep 2007,1.4049
2275,2007-09-24,24 Sep 2007,1.4113
2276,2007-09-25,25 Sep 2007,1.4106
2277,2007-09-26,26 Sep 2007,1.4127
2278,2007-09-27,27 Sep 2007,1.418
2279,2007-09-28,28 Sep 2007,1.4179
2280,2007-10-01,01 Oct 2007,1.4232
2281,2007-10-02,02 Oct 2007,1.4165
2282,2007-10-03,03 Oct 2007,1.4195
2283,2007-10-04,04 Oct 2007,1.4109
2284,2007-10-05,05 Oct 2007,1.4136
2285,2007-10-08,08 Oct 2007,1.4089
2286,2007-10-09,09 Oct 2007,1.4037
2287,2007-10-10,10 Oct 2007,1.4146
2288,2007-10-11,11 Oct 2007,1.4199
2289,2007-10-12,12 Oct 2007,1.4173
2290,2007-10-15,15 Oct 2007,1.4226
2291,2007-10-16,16 Oct 2007,1.415
2292,2007-10-17,17 Oct 2007,1.42
2293,2007-10-18,18 Oct 2007,1.4299
2294,2007-10-19,19 Oct 2007,1.4288
2295,2007-10-22,22 Oct 2007,1.4166
2296,2007-10-23,23 Oct 2007,1.4254
2297,2007-10-24,24 Oct 2007,1.423
2298,2007-10-25,25 Oct 2007,1.4309
2299,2007-10-26,26 Oct 2007,1.4384
2300,2007-10-29,29 Oct 2007,1.4391
2301,2007-10-30,30 Oct 2007,1.4407
2302,2007-10-31,31 Oct 2007,1.4447
2303,2007-11-01,01 Nov 2007,1.4423
2304,2007-11-02,02 Nov 2007,1.4479
2305,2007-11-05,05 Nov 2007,1.4488
2306,2007-11-06,06 Nov 2007,1.4547
2307,2007-11-07,07 Nov 2007,1.4722
2308,2007-11-08,08 Nov 2007,1.4666
2309,2007-11-09,09 Nov 2007,1.4683
2310,2007-11-12,12 Nov 2007,1.4579
2311,2007-11-13,13 Nov 2007,1.4607
2312,2007-11-14,14 Nov 2007,1.47
2313,2007-11-15,15 Nov 2007,1.4639
2314,2007-11-16,16 Nov 2007,1.4651
2315,2007-11-19,19 Nov 2007,1.4654
2316,2007-11-20,20 Nov 2007,1.4785
2317,2007-11-21,21 Nov 2007,1.4814
2318,2007-11-22,22 Nov 2007,1.4829
2319,2007-11-23,23 Nov 2007,1.4809
2320,2007-11-26,26 Nov 2007,1.4845
2321,2007-11-27,27 Nov 2007,1.4874
2322,2007-11-28,28 Nov 2007,1.4747
2323,2007-11-29,29 Nov 2007,1.4738
2324,2007-11-30,30 Nov 2007,1.4761
2325,2007-12-03,03 Dec 2007,1.4666
2326,2007-12-04,04 Dec 2007,1.4741
2327,2007-12-05,05 Dec 2007,1.472
2328,2007-12-06,06 Dec 2007,1.4554
2329,2007-12-07,07 Dec 2007,1.4649
2330,2007-12-10,10 Dec 2007,1.4718
2331,2007-12-11,11 Dec 2007,1.4672
2332,2007-12-12,12 Dec 2007,1.4675
2333,2007-12-13,13 Dec 2007,1.4683
2334,2007-12-14,14 Dec 2007,1.4509
2335,2007-12-17,17 Dec 2007,1.4393
2336,2007-12-18,18 Dec 2007,1.4416
2337,2007-12-19,19 Dec 2007,1.4385
2338,2007-12-20,20 Dec 2007,1.4349
2339,2007-12-21,21 Dec 2007,1.438
2340,2007-12-24,24 Dec 2007,1.4398
2341,2007-12-25,25 Dec 2007,
2342,2007-12-26,26 Dec 2007,
2343,2007-12-27,27 Dec 2007,1.4516
2344,2007-12-28,28 Dec 2007,1.4692
